Parent_Object,cmodel,Objection-Locaton,Label,Title,Creator,Contributors,Type,Genre,Genre-URI,Date-Created,Year,Season,Date-Captured,Publisher,Language-Code,Language-Text,Format,Format-URI,File-Format,Dimensions,Digital-Origin,Description-Abstract,Subject-Topic,Website,Rights,Volume-Number,Issue-Number
,islandora:sp-audioCModel,Go-Getters-Littau-7-5-Edit-converted.mp3,,GO Getters Episode #29: Jeremy Littau,Lehigh University,Jeremy Littau,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-08-10,2023,6,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,41:27,born digital,"Artificial intelligence will radically reshape our jobs, our lives, and our concept of what it means to be human. Associate Professor of Journalism and Communication Jeremy Littau sits down with Joe Buck for a conversation about generative artificial intelligence tools, from ChatGPT to Dall-E and beyond: how they work, what they bring to the classroom, and how journalism and the humanities are positioned to meet the challenges and opportunities of this moment of technological transformation.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,6,29
,islandora:sp-audioCModel,Lisa-Getzler-Complete-converted.mp3,,GO Getters Episode #28: Lisa Getzler,Lehigh University,Lisa Getzler,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-05-24,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,34:09,born digital,"How do you empower students to develop entrepreneurial mindsets? Can design thinking change the way we change the world? And what, at the end of the day, is success? Since 2001, Lisa Getzler, executive director of the Baker Institute for Entrepreneurship, Creativity & Innovation, has been a key part of developing the answers to those questions and building the dynamic ecosystem of entrepreneurship at Lehigh. Learn more about her journey — from a life in the theater to the work that’s allowing students to unlock their potential and create the future.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,28
,islandora:sp-audioCModel,John-Mullins-Podcast-edited-converted.mp3,,GO Getters Episode #27: John Mullins ’67,Lehigh University,John Mullins ’67,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-05-12,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,40:28,born digital,"Entrepreneur, professor, and author John Mullins ’67 is out to break the rules. His decades of experience growing businesses like The Gap have informed new thinking — and now a new book — about counter-conventional mindsets that can help drive success. Hear about the business approaches that fly in the face of traditional business wisdom, common mistakes, and his advice for budding entrepreneurs.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,27
,islandora:sp-audioCModel,Flinchbaugh-Podcast-edited-v2-1-converted.mp3,,GO Getters Episode #26: Jamie Flinchbaugh ’94,Lehigh University,Jamie Flinchbaugh ’94,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-05-05,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,37:51,born digital,"Staring at a problem won’t change it. Instead, experiment. Ask a question. Build something out. That “rigor of momentum” helps take ideas to fruition, according to entrepreneur and mentor Jamie Flinchbaugh ’94. Learn more about his South Mountain roots, perspectives on risk, and commitment to mentorship — and scholarships — at Lehigh. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,26
,islandora:sp-audioCModel,Chris-Kauzmann-Final-converted.mp3,,GO Getters Episode #25: Chris Kauzmann ’13 ’14G,Lehigh University,Chris Kauzmann ’13 ’14G,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-03-27,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,31:25,born digital,"With an open-door policy and a knack for mentorship, Baker Institute Innovator-in-Residence Chris Kauzmann ’13 ’14G helps guide curious Lehigh students as they undertake their own entrepreneurial journeys. With Joe Buck, he explores his own roots and passions, shares insights into the entrepreneurial mindset, and brags (in the very best way) about how Lehigh students and alumni are solving problems in today’s world. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,25
,islandora:sp-audioCModel,Ventures-Lab-Final-converted.mp3,,GO Getters Episode #24: Ventures Lab Founders,Lehigh University,Ventures Lab Founders,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-03-20,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,44:57,born digital,"A revolutionary approach to hair care. Innovations in vaginal health. Humane and high-tech traps to outsmart pests. Three young alumni entrepreneurs — Giana Jarrah ’22, Sareena Karim ’22, and Brian Quispe ’20 ’22G — are sharing their solutions with the world after launching companies with the help of Lehigh’s new Ventures Lab. Find out where their ideas came from, their pitfalls and highlights, and what challenges them the most in this far-ranging episode.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,24
,islandora:sp-audioCModel,Mark-Wilson-Final-1-converted.mp3,,GO Getters Episode #23: Mark Wilson,Lehigh University,Mark Wilson,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-03-06,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,30:13,born digital,"Mark Wilson is the executive director of Lehigh’s Zoellner Arts Center, now celebrating a vibrant 25th season. Listen as he talks with host Joe Buck about mentorship, community connections, and the importance of saying yes to new opportunities in this conversation — complete with inspiring advice, a few puns, and even a little opera.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,23
,islandora:sp-audioCModel,Kristin-20Agatone-20Final-converted.mp3,,GO Getters Episode #22: Kristin Agatone,Lehigh University,Kristin Agatone,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-11-10,2022,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,35:18,born digital,"Allocations. Asset classes. Annual distributions. Kristin Agatone, Lehigh’s chief investment officer, dives into the nuances of managing a $2 billion endowment in this conversation with host Joe Buck. Listen as she talks about her search for investments in the “sweet spot,” the importance of leveraging Lehigh’s portfolio for the long term, and her own challenges and successes as a woman in the finance industry. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,22
,islandora:sp-audioCModel,Raihan-20Alam-20Final-20Podcast-20-1-converted.mp3,,GO Getters Episode #21: Raihan Alam ’23,Lehigh University,Raihan Alam ’23,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-09-26,2022,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,32:10,born digital,"Raihan Alam ’23 is drawn to controversial conversation — and committed to making them meaningful. As a founder of the Douglass Dialogues program, he champions respectful dialogue among students and faculty on tough topics. As a social psychologist, he’s a published author on research examining the factors that contribute to hostility on social media. Listen to learn how Alam’s work is bolstering the Lehigh community and changing perspectives on how humans perceive and understand each other. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,21
,islandora:sp-audioCModel,Helble-20edit2-3-15-converted.mp3,,GO Getters Episode #20: Joseph J. Helble ’82,Lehigh University,Joseph J. Helble ’82,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-06-08,2022,4,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,37:19,born digital,"Joseph J. Helble ’82 isn’t just Lehigh’s 15th president. He’s also an engineer, an educator, a runner, a one-time Gryphon, a great home chef, and — of course — a go-getter. Get to know what makes him tick as he looks back on his earliest days at Lehigh, reflects on his journey to the presidency, and sets his sights on the future of the institution and our community. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,4,20
,islandora:sp-audioCModel,Allison-20Codi-20Final-20Podcast-converted.mp3,,GO Getters Episode #19: Allison Codi ’22,Lehigh University,Allison Codi ’22,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-05-17,2022,4,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,29:18,born digital,"Allison Codi '22, a major in IDEAS (Integrated Degree in Engineering, Arts and Sciences), knows and loves the space where computer science, engineering, and health converge. In this episode, Codi talks with host Joe Buck about her research in COVID-19 forecasting, her love of frisbee (and hatred of stink bugs), and how she views herself as a mentor for women and girls in STEM.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,4,19
,islandora:sp-audioCModel,silvoy-final-mp3-converted.mp3,,GO Getters Episode #18: Tony Silvoy,Lehigh University,Tony Silvoy,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-03-28,2022,4,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,30:38,born digital,"“Right there that is!” For more than 40 years, The Goose’s Tony Silvoy has spent nearly every day making sandwiches for his friends. With host Joe Buck, Silvoy reflects on how he found his calling at the landmark Southside deli, the ways the neighborhood has changed through the years, and his role as an unofficial Lehigh ambassador.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,4,18
,islandora:sp-audioCModel,engelbert-podcast-edited-1-2022.mp3,,GO Getters Episode #17: Cathy Engelbert '86,Lehigh University,Cathy Engelbert '86,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-03-01,2022,4,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,31:50,born digital,"It’s hard to believe Cathy Engelbert ’86, first female CEO of a Big Four accounting firm, could ever be shy. But she credits Lehigh with bringing her out of her shell and her own willingness to practice, prepare, and stretch with elevating her not just to the top of her field, but to a new role as commissioner of the WNBA. Hear about her journey and how she’s shaping the future of women through her league — and at Lehigh.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,4,17
,islandora:sp-audioCModel,go-getters-schiffer-edited.mp3,,GO Getters Episode #16: Jason Schiffer,Lehigh University,Jason Schiffer,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-02-11,2022,4,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,40:52,born digital,"On any given day, you'll find Lehigh Chief of Police Jason Schiffer on his bike, chatting with students and cruising the slopes of South Mountain. The lawyer and former Bethlehem Police Chief brought his community bicycle-cop background to campus in 2018 with the aim of helping students to succeed. Listen and learn about his journey to Lehigh and how he is helping to shape the department’s philosophy, approach, and practice of equitable policing. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,4,16
,islandora:sp-audioCModel,go-getters-podcast-laura-duffany-final-version.mp3,,GO Getters Episode #15: Laura Duffany '23,Lehigh University,Laura Duffany '23,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2021-12-03,2021,4,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,35:18,born digital,"Meet Laura Duffany ’23, a head Gryphon, dual major in behavioral neuroscience and global studies, and lead member of an NIH award-winning student team that’s developing a device to easily diagnose sickle cell disease. From her experiences living through Hurricane Maria in Puerto Rico to her hopes of making a difference on the ground in Sierra Leone, hear about Laura’s drive to impact global healthcare and build communities.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,4,15
,islandora:sp-audioCModel,go-getters-podcast-chaves-final-edit.mp3,,GO Getters Episode #14: Patricia Chaves '92G,Lehigh University,Patricia Chaves '92G,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2021-11-18,2021,4,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,37:40,born digital,"United Nations Sustainability Development Officer Patricia Chaves ’92G has devoted her life to “planting flowers” — that is, helping those around her bloom. When she’s not working to further the United Nations’ 17 Sustainability Development Goals (SDGs), Chaves helps drive change in her home country of Costa Rica and make connections for Lehigh students. Learn how she thinks a single person can make a difference and what Lehigh can do to help sustain our world.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,4,14
,islandora:sp-audioCModel,john-simon-edit2-master.mp3,,GO Getters Episode #13: John D. Simon '19P,Lehigh University,John D. Simon '19P,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2021-06-30,2021,3,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,44:24,born digital,"What’s the job of a university president all about? John D. Simon ’19P talks about the importance of asking the right questions, building relationships, and wearing the right (Engineers?) hat as he reflects on his tenure as Lehigh’s 14th president.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,3,13
,islandora:sp-audioCModel,frank-douglas-edit2.mp3,,GO Getters Episode #12: Dr. Frank Douglas '66,Lehigh University,Dr. Frank Douglas '66,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2021-06-25,2021,3,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,46:21,born digital,"After a Fulbright award brought him from British Guiana to Lehigh, Frank Douglas found himself navigating not just university life and winter weather, but a national landscape of tumultuous social change.With wisdom and gravity, Douglas reflects on his experiences with racism and discrimination, a pharmaceutical career that helped launch more than 20 well-known drugs, and his continued endeavors for social justice.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,3,12
,islandora:sp-audioCModel,go-getterselsa-reichmanis-edit2-master.mp3,,GO Getters Episode #11: Elsa Reichmanis,Lehigh University,Elsa Reichmanis,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2021-06-07,2021,3,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,34:49,born digital,"Elsa Reichmanis, who helped make possible the chips in almost all of today’s electronics with her contributions in the field of microlithography, is now poised for new discoveries as Lehigh’s newly arrived Carl Robert Anderson Chair in Chemical Engineering. Join host Joe Buck as he talks with her about how she sees her role as a researcher and mentor; her anticipation around the Health, Science, and Technology building; and how she figured out what she wanted to do when she grew up.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,3,11
,islandora:sp-audioCModel,go-getters-adrian-suarez-edit-3.mp3,,GO Getters Episode #10: Adrian Suarez '22,Lehigh University,Adrian Suarez '22,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2021-04-29,2021,3,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,36:23,born digital,"Adrian Suarez ’22 was only 13 when he lost his father, but he was old enough to appreciate the shortness of life and the need to make the most of the opportunities before him. With the help of a Lehigh scholarship, Adrian has since navigated the challenges of being an international, first-generation college student to become a philosopher, a social entrepreneur, a business consultant, and even a stand-up comedian. With host Joe Buck, follow Adrian’s journey to hear what motivates him, the connection between comedy and resilience, and the ways his adventures are still unfolding.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,3,10
,islandora:sp-audioCModel,go-getters-ann-lewnes-edit-4.mp3,,GO Getters Episode #9: Ann Lewnes '83,Lehigh University,Ann Lewnes,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2021-04-19,2021,3,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,36:29,born digital,"After graduating from Lehigh, New York native Ann Lewnes ’83 reinvented herself on the West Coast with a job at Intel. Then, she went on to reinvent Adobe, Inc., as chief marketing officer and executive vice president of corporate strategy and development. With host Joe Buck, Ann discusses her appetite for risk, her perspectives on up-and-coming talent, and her next big bet on the future of marketing. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,3,9
,islandora:sp-audioCModel,maida-edit2-master.mp3,,GO Getters Episode #08: James R. Maida,Lehigh University,James R. Maida,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2020-11-12,2020,2,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,26:53,born digital,"James Maida, Class of 1985 and member of the Board of Trustees, has trouble sleeping at night if there’s a problem that needs to be solved. With John Simon, he talks about his experience as a computer science engineer-turned lawyer-turned entrepreneur, how he’s guiding his international business through the pandemic, and Lehigh connections that span generations. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Lehigh President John D. Simon ’19P hosts straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,2,8
,islandora:sp-audioCModel,go-getters-eduardo-gomez.mp3,,GO Getters Episode #07: Eduardo Gómez,Lehigh University,Eduardo Gómez,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2020-10-01,2020,2,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,37:07,born digital,"Eduardo Gómez is an internationally known expert on global health and political science, a frequent contributor on major news networks, and one of the founding professors in Lehigh’s new College of Health. But, he admits, he was a less-than-dedicated high school student. Listen as Gomez talks with President John Simon about developing personal discipline, his passion for academics, and how he finds himself making societal change happen at the intersection of political science and health.https://gocampaign.lehigh.edu/GOGetters About GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Lehigh President John D. Simon ’19P hosts straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,2,7
,islandora:sp-audioCModel,julia-pardee-edit3.mp3,,GO Getters Episode #06: Julia Pardee '21,Lehigh University,Julia Pardee '21,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2020-09-03,2020,1,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,23:21,born digital,"When COVID-19 disrupted the end of the spring semester, Student Senate President Julia Pardee ’21 had to navigate unfamiliar territory from a familiar space: representing the student body to Lehigh administrators. President Simon talks with Julia about how she represented student concerns during the pandemic, the importance of communicating, and her student leadership experiences.",,,http://rightsstatements.org/vocab/InC/1.0/,1,6
,islandora:sp-audioCModel,greg-reihman-edit1p5.mp3,,GO Getters Episode #05: Greg Reihman,Lehigh University,Greg Reihman,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2020-09-03,2020,1,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,26:28,born digital,"In March 2020, Lehigh took 1,000 courses and programs online in just four days.Hear from Greg Reihman, vice provost for Library and Technology Services, about how decades of experience informed the transition to remote learning, ways faculty and students have adapted, and how the shift to new technology will shape the future of education. ",,,http://rightsstatements.org/vocab/InC/1.0/,1,5
,islandora:sp-audioCModel,gogetters-khanjanmehta.mp3,,GO Getters Episode #04: Khanjan Mehta,Lehigh University,Khanjan Mehta,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2020-05-14,2020,1,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,42:02,born digital,"Khanjan Mehta, inaugural vice provost for Creative Inquiry and director of the Mountaintop Initiative, has a motto: Get stuff done. President Simon explores what drives Khanjan's passion for problem solving, his frustrations with the “tyranny of content,” and how he guides students to tremendous successes — and spectacular failures — so they can change the world.Stay tuned after the episode to hear how student projects have continued remotely since the disruption of COVID-19 and how creative inquiry can help us navigate in a vulnerable, uncertain, chaotic, and ambiguous world.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Lehigh President John D. Simon ’19P hosts straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,1,4
,islandora:sp-audioCModel,gogetters-martinharmer.mp3,,GO Getters Episode #03: Martin Harmer,Lehigh University,Martin Harmer,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2020-05-13,2020,1,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,41:12,born digital,"When Martin Harmer, Alcoa Foundation Professor of Material Science and Engineering, isn’t driving a revolution at the intersection of AI and electron microscopy, you may find him fishing hundreds of miles offshore or practicing his latest slight-of-hand trick. Join President Simon as he uncovers where Martin gets his ideas and how he puts the magic into engineering, literally and figuratively.After the episode, Martin shares what it’s like teaching remotely from his boat, where he found himself stranded after COVID-19 shut down the country.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Lehigh President John D. Simon ’19P hosts straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,1,3
,islandora:sp-audioCModel,gogetters-maddiemonahan.mp3,,GO Getters Episode #02: Madelyn Monahan '21,Lehigh University,Madelyn Monahan '21,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2020-05-12,2020,1,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,33:21,born digital,"As a top business student, rising computer scientist, and field hockey star, Maddie Monahan ’21 seems like she has it all figured out. But that hasn’t always been the case. Join President Simon as he talks with Maddie about her insights on overcoming failure, how she’s pursuing her passions, and what the art of passing on the field has taught her about leadership.Stay tuned after the episode to hear how Maddie has navigated her semester since Lehigh moved to remote learning due to COVID-19.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Lehigh President John D. Simon ’19P hosts straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,1,2
,islandora:sp-audioCModel,gogetters-williamcrow.mp3,,GO Getters Episode #01: William Crow,Lehigh University,William Crow,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2020-05-11,2020,1,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,35:02,born digital,"Fresh from the Metropolitan Museum of Art, Lehigh University Art Galleries Director William Crow talks neuroscience and Nirvana with President Simon as part of a far-ranging conversation about art and the role it plays in interdisciplinary education and research.After the episode, stay tuned to hear how William has taken the work of the galleries online since the advent of COVID-19, and his perspectives on the value of art in uncertain times.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Lehigh President John D. Simon ’19P hosts straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,1,1
